nr_conta;dt_interface;dt_movimentacao;mercado;sub_mercado;produto;ativo;emissor;indexador;cnpj_fundo;cge_fundo;tipo;tipo_opcao;quantidade;vl_custo;vl_bruto;vl_ir;vl_iof;vl_taxa;vl_taxa_compra;taxa_indexador;vl_preco_mercado;vl_preco_compra;vl_premio;vl_exercicio;vl_liquido;quantidade_contrato;vl_contrato;dt_aquisicao;dt_exercicio;dt_vencimento;vl_futuro_nao_compoem_pl;vl_aluguel_nao_compoem_pl;visualizacao_cliente;vl_bruto_curva_cliente;ir_curva_cliente;iof_curva_cliente;vl_liquido_curva_cliente;vl_bruto_curva_mercado;ir_curva_mercado;iof_curva_mercado;vl_liquido_curva_mercado;cod_certificado;tipo_previdencia
005755790;2026-05-25;2026-05-25;RENDA FIXA;BANCARIO;CDB;CDB-CDB725BHTO7;BANCO BTG PACTUAL S A;100% IPCA;;;;;6;3000;3375.8499999999999;75.170000000000002;0;10;10;IPCA;;;;562.64280503999998;3300.6800000000003;;;2025-07-22;;2026-07-22;0;0;;3375.8568302399999;75.17136604800001;0;3300.6854641919999;;;;;;
005145235;2026-05-25;2026-05-25;FUNDOS;FN;DAYCOVAL CLASSIC 30 FIRF CRPR;;;;29250121000173;2166547;;;11611.54622421;;24586.739999999998;239.19999999999999;0;;;;;;;2.1174392000000002;24347.540000000001;;;;;;0;0;;;;;;;;;;;
005145235;2026-05-25;2026-05-25;FUNDOS;FN;SPX SEAHAWK FICFIRF CRPR LP;;;;35505971000178;2567280;;;12476.952100189999;;24518.489999999998;198.53999999999999;0;;;;;;;1.9651027999999999;24319.950000000001;;;;;;0;0;;;;;;;;;;;
004900413;2026-05-25;2026-05-25;RENDA FIXA;BANCARIO;CDB;CDB-CDB6253HGM9;BANCO FIBRA SA;100% IPCA;;;;;1;1000;1134.1200000000001;26.82;0;9.25;9.25;IPCA;;;;1134.12193931;1107.3;;;2025-06-05;;2026-06-05;0;0;;1134.12193931;26.824387861999998;0;1107.2975514479999;;;;;;
004900413;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - NTN-B-P;NTNB-P;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;0.31;988.50999999999999;1166.4400000000001;26.68;0;4.96;6.1699999999999999;IPCA;;;;3762.71;1139.76;;;2024-05-31;;2029-05-15;0;0;;;;;;1166.4401;26.688675;0;1139.7514249999999;;
015250350;2026-05-25;2026-05-25;FUNDOS;FN;BTG DIGITAL TESOURO SELIC SIMPLES FIRF;;;;29562673000117;1170853;;;13404.406804;;26824.150000000001;33.590000000000003;63.979999999999997;;;;;;;2.0011442187689998;26726.579999999998;;;;;;0;0;;;;;;;;;;;
002045726;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - NTN-B-P;NTNB-P;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;6.9500000000000002;10225.530000000001;11940.93;300.19;0;7.46;7.46;IPCA;;;;1718.1199999999999;11640.74;;;2025-03-05;;2040-08-15;0;0;;;;;;11940.933999999999;300.19482500000004;0;11640.739174999999;;
002045726;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - NTN-B-P;NTNB-P;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;2.7200000000000002;4982.3000000000002;6604.0500000000002;243.25999999999999;0;3.9300000000000002;4.1600000000000001;IPCA;;;;2427.96;6360.79;;;2020-09-21;;2035-05-15;0;0;;;;;;6604.0512000000008;243.26184000000001;0;6360.7893600000007;;
002045726;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - NTN-B-P;NTNB-P;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;2.0499999999999998;5972.3199999999997;9439.6899999999987;520.10000000000002;0;3.23;3.23;IPCA;;;;4604.7299999999996;8919.5900000000001;;;2021-03-01;;2026-08-15;0;0;;;;;;9439.6964999999982;520.10550000000001;0;8919.5909999999985;;
003808630;2026-05-25;2026-05-25;RENDA VARIÁVEL;ACAO;UNIP6;UNIP6;;;;;UNIPAR      PNB;;4;;243.51999999999998;0;;;;;60.880000000000003;;;60.880000000000003;243.51999999999998;;;;;;0;0;;;;;;;;;;;
003808630;2026-05-25;2026-05-25;RENDA VARIÁVEL;FII;BTLG11;BTLG11;;;;;FII BTLG    CI  ER;;4;;413.16000000000003;0;;;;;103.29000000000001;;;103.29000000000001;413.16000000000003;;;;;;0;0;;;;;;;;;;;
003808630;2026-05-25;2026-05-25;RENDA VARIÁVEL;ACAO;VALE3;VALE3;;;;;VALE        ON      NM;;4;;334.36000000000001;0;;;;;83.590000000000003;;;83.590000000000003;334.36000000000001;;;;;;0;0;;;;;;;;;;;
011719960;2026-05-25;2026-05-25;RENDA VARIÁVEL;ACAO;USIM5;USIM5;;;;;USIMINAS    PNA     N1;;1;;9.9700000000000006;0;;;;;9.9700000000000006;;;9.9700000000000006;9.9700000000000006;;;;;;0;0;;;;;;;;;;;
002045726;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - NTN-B-P;NTNB-P;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;2.6400000000000001;4993.0799999999999;6409.8099999999995;212.5;0;3.9300000000000002;3.9300000000000002;IPCA;;;;2427.96;6197.3099999999995;;;2020-09-18;;2035-05-15;0;0;;;;;;6409.8144000000002;212.50943999999998;0;6197.3049600000004;;
002045726;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - NTN-B-P;NTNB-P;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;5.2000000000000002;14997.889999999999;23944.59;1342;0;3.23;3.77;IPCA;;;;4604.7299999999996;22602.59;;;2021-04-13;;2026-08-15;0;0;;;;;;23944.595999999998;1342.0056;0;22602.590399999997;;
002045726;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - NTN-B-P;NTNB-P;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;3.23;10084.51;14873.27;718.30999999999995;0;3.23;5.1600000000000001;IPCA;;;;4604.7299999999996;14154.960000000001;;;2022-04-06;;2026-08-15;0;0;;;;;;14873.277899999999;718.31485499999997;0;14154.963044999999;;
013660063;2026-05-25;2026-05-25;RENDA VARIÁVEL;ACAO;XPBR31;XPBR31;;;;;XP INC      DR1;;2;;174.02000000000001;0;;;;;87.010000000000005;;;87.010000000000005;174.02000000000001;;;;;;0;0;;;;;;;;;;;
005145235;2026-05-25;2026-05-21;PREVIDÊNCIA;PP;CAPITANIA PREV BP FI RF CRED PRIV;CERTIFICADO PREV 166545;;;34270943000156;776042.00;;;4142.2143200500004;;6680.75;;;;;;;;;1.6128454000000001;6680.75;4142.2143200500004;6680.75;;;;0;0;;;;;;;;;;Certificado Prev 166545;VGBL
003808630;2026-05-25;2026-05-25;RENDA FIXA;BANCARIO;CDB;CDB-CDB005JML7O;BANCO BTG PACTUAL S A;100% CDI;;;;;15259;152.59;155.15000000000001;0.56999999999999995;0;0;100;CDI;;;;0.010168190000000001;154.57999999999998;;;2026-04-08;;2028-04-10;0;0;;155.15641121000002;0.57744252225000003;0;154.57896868775001;;;;;;
019519172;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - LFT;LFT;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% SELIC;;;;;0.029999999999999999;543.42999999999995;569.66999999999996;5.9000000000000004;0;0.089999999999999997;0.089999999999999997;SELIC;;;;18989.290000000001;563.76999999999998;;;2026-01-16;;2031-03-01;0;0;;;;;;569.67870000000005;5.9048325000000004;0;563.77386750000005;;
011506888;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - LFT;LFT;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% SELIC;;;;;0.01;175.93000000000001;190.57999999999998;2.9300000000000002;0;0.040000000000000001;0.040000000000000001;SELIC;;;;19058.66;187.65000000000001;;;2025-10-21;;2028-03-01;0;0;;;;;;190.5866;2.9310000000000005;0;187.65559999999999;;
011506888;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - LFT;LFT;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% SELIC;;;;;0.080000000000000002;1486.1700000000001;1519.1399999999999;7.4100000000000001;0;0.10000000000000001;0.089999999999999997;SELIC;;;;18989.290000000001;1511.73;;;2026-03-24;;2031-03-01;0;0;;;;;;1519.1432000000002;7.41744;0;1511.7257600000003;;
016087223;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - LFT;LFT;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% SELIC;;;;;1.1000000000000001;19937.110000000001;20888.209999999999;213.99000000000001;0;0.089999999999999997;0.089999999999999997;SELIC;;;;18989.290000000001;20674.220000000001;;;2026-01-19;;2031-03-01;0;0;;;;;;20888.219000000001;213.99840000000003;0;20674.220600000001;;
013141775;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - LFT;LFT;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% SELIC;;;;;0.050000000000000003;890.42999999999995;952.92999999999995;12.5;0;0.050000000000000003;0.040000000000000001;SELIC;;;;19058.66;940.42999999999995;;;2025-11-21;;2028-03-01;0;0;;;;;;952.93299999999999;12.5002;0;940.43280000000004;;
011506888;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - LFT;LFT;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% SELIC;;;;;0.17000000000000001;3097.23;3239.9700000000003;32.109999999999999;0;0.040000000000000001;0.040000000000000001;SELIC;;;;19058.66;3207.8599999999997;;;2026-01-21;;2028-03-01;0;0;;;;;;3239.9722000000002;32.116612500000002;0;3207.8555875000002;;
011506888;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - LFT;LFT;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% SELIC;;;;;0.089999999999999997;1652.03;1709.03;12.82;0;0.10000000000000001;0.10000000000000001;SELIC;;;;18989.290000000001;1696.2099999999998;;;2026-02-23;;2031-03-01;0;0;;;;;;1709.0361;12.826349999999998;0;1696.20975;;
015482532;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - LTN;LTN;BACEN-BANCO CENTRAL DO BRASIL - RJ;PRE;;;;;3.3599999999999999;1616.6900000000001;1610.4400000000001;0;0;13.41;13.390000000000001;PRE;;;;479.30000000000001;1610.4400000000001;;;2026-02-20;;2032-01-01;0;0;;;;;;1610.4479999999999;0;0;1610.4479999999999;;
013141775;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - LFT;LFT;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% SELIC;;;;;0.01;173.88999999999999;190.57999999999998;3.3300000000000001;0;0.050000000000000003;0.050000000000000003;SELIC;;;;19058.66;187.25;;;2025-09-22;;2028-03-01;0;0;;;;;;190.5866;3.3376200000000003;0;187.24898000000002;;
003808630;2026-05-25;2026-05-25;RENDA VARIÁVEL;FII;BTCI11;BTCI11;;;;;FII BTG CRI CI;;24;;221.28000000000003;0;;;;;9.2200000000000006;;;9.2200000000000006;221.28000000000003;;;;;;0;0;;;;;;;;;;;
004900413;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - NTN-B-P;NTNB-P;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;0.34000000000000002;540.24000000000001;584.16000000000008;8.7799999999999994;0;7.4100000000000001;7.4100000000000001;IPCA;;;;1718.1199999999999;575.38;;;2025-10-15;;2040-08-15;0;0;;;;;;584.16079999999999;8.7821999999999996;0;575.37860000000001;;
011049970;2026-05-25;2026-05-25;RENDA FIXA;BANCARIO;CDB;CDB-CDBC257XQPT;BANCO BTG PACTUAL S A;100% CDI;;;;;40000;400;424.31000000000006;5.4699999999999998;0;0;100;CDI;;;;0.010607810000000001;418.83999999999997;;;2025-12-15;;2027-12-15;0;0;;424.31240000000003;5.4702899999999994;0;418.84211000000005;;;;;;
015838089;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - LFT;LFT;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% SELIC;;;;;0.11;1952.9000000000001;2088.8200000000002;30.579999999999998;0;0.10000000000000001;0.10000000000000001;SELIC;;;;18989.290000000001;2058.2400000000002;;;2025-11-25;;2031-03-01;0;0;;;;;;2088.8218999999999;30.580852499999999;0;2058.2410474999997;;
004900413;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - NTN-B-P;NTNB-P;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;0.28999999999999998;492.81;498.25;1.22;0;7.4100000000000001;7.2199999999999998;IPCA;;;;1718.1199999999999;497.03000000000003;;;2026-03-06;;2040-08-15;0;0;;;;;;498.25479999999993;1.2234375;0;497.03136249999994;;
015411671;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - LFT;LFT;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% SELIC;;;;;0.54000000000000004;9746.1800000000003;10291.67;122.73;0;0.040000000000000001;0.040000000000000001;SELIC;;;;19058.66;10168.939999999999;;;2025-12-26;;2028-03-01;0;0;;;;;;10291.6764;122.73565500000001;0;10168.940745;;
016087223;2026-05-25;2026-05-25;RENDA FIXA;BANCARIO;CDB;CDB-CDB1268MJJ9;BANCO BTG PACTUAL S A;100% CDI;;;;;6289;62.890000000000001;65.760000000000005;0.64000000000000001;0;0;100;CDI;;;;0.01045689;65.120000000000005;;;2026-01-22;;2028-01-24;0;0;;65.763381210000006;0.64651077224999998;0;65.116870437750009;;;;;;
020519385;2026-05-25;2026-05-25;RENDA FIXA;TESOURO DIRETO;TESOURO DIRETO - LFT;LFT;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% SELIC;;;;;0.02;363.31;379.78000000000003;3.7000000000000002;0;0.089999999999999997;0.089999999999999997;SELIC;;;;18989.290000000001;376.08000000000004;;;2026-01-23;;2031-03-01;0;0;;;;;;379.78580000000005;3.706245;0;376.07955500000003;;
