nr_conta;dt_interface;dt_movimentacao;mercado;sub_mercado;produto;ativo;emissor;indexador;cnpj_fundo;cge_fundo;tipo;tipo_opcao;quantidade;vl_custo;vl_bruto;vl_ir;vl_iof;vl_taxa;vl_taxa_compra;taxa_indexador;vl_preco_mercado;vl_preco_compra;vl_premio;vl_exercicio;vl_liquido;quantidade_contrato;vl_contrato;dt_aquisicao;dt_exercicio;dt_vencimento;vl_futuro_nao_compoem_pl;vl_aluguel_nao_compoem_pl;visualizacao_cliente;vl_bruto_curva_cliente;ir_curva_cliente;iof_curva_cliente;vl_liquido_curva_cliente;vl_bruto_curva_mercado;ir_curva_mercado;iof_curva_mercado;vl_liquido_curva_mercado;cod_certificado;tipo_previdencia
003440312;2026-06-16;2026-06-16;RENDA VARIÁVEL;FII;BDIF11;BDIF11;;;;;FIC INFR BTGCI  ER;;3260;;236676;0;;;;;72.599999999999994;;;72.599999999999994;236676;;;;;;0;0;;;;;;;;;;;
003440312;2026-06-16;2026-06-16;FUNDOS;FN;BTG DIGITAL TESOURO SELIC SIMPLES FIRF;;;;29562673000117;1170853;;;53300.920403999997;;107520.67;550.14999999999998;0;;;;;;;2.017238511325;106970.51999999999;;;;;;0;0;;;;;;;;;;;
004797262;2026-06-16;2026-06-16;CONTA CORRENTE;CC;CONTA CORRENTE;;;;;;;;13.15;;13.15;;;;;;;;;1;13.15;;;;;;0;0;;;;;;;;;;;
003674307;2026-06-16;2026-06-16;CONTA CORRENTE;CC;CONTA CORRENTE;;;;;;;;0;;0;;;;;;;;;1;0;;;;;;0;0;;;;;;;;;;;
003675210;2026-06-16;2026-06-16;CONTA CORRENTE;CC;CONTA CORRENTE;;;;;;;;0;;0;;;;;;;;;1;0;;;;;;0;0;;;;;;;;;;;
005040625;2026-06-16;2026-06-16;CONTA CORRENTE;CC;CONTA CORRENTE;;;;;;;;0;;0;;;;;;;;;1;0;;;;;;0;0;;;;;;;;;;;
002761097;2026-06-16;2026-06-16;FUNDOS;FN;HASHDEX 100 NASDAQ CRYPTO INDEX FIM;;;;33736845000107;781813;;;5826.0372900000002;;34350.919999999998;0;0;;;;;;;5.8961040131129998;34350.919999999998;;;;;;0;0;;;;;;;;;;;
002761097;2026-06-16;2026-06-16;FUNDOS;FN;BTG TESOURO SELIC FIRFREFDI;;;;09215250000113;1173358;;;16388.627552999998;;90178.860000000001;33.600000000000001;169.68000000000001;;;;;;;5.5025275158879996;89975.580000000002;;;;;;0;0;;;;;;;;;;;
005503237;2026-06-16;2026-06-16;RENDA FIXA;TITULO PUBLICO;NTN-B;NTNB;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;25;105058.19;104869.5;572.87;0;7.2800000000000002;7.2800000000000002;IPCA;;;;4194.7801149999996;104296.63;;;2026-01-13;;2040-08-15;0;0;Precificação na Curva Mercado;108085.2954;1296.428158125;0;106788.86724187501;104869.50287499999;572.87483999999995;0;104296.62803499999;;
001758776;2026-06-16;2026-06-16;RENDA FIXA;TITULO PUBLICO;NTN-B;NTNB;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;12;51000.150000000001;52372.240000000005;449.94;0;7.6500000000000004;7.6500000000000004;IPCA;;;;4364.3534220000001;51922.300000000003;;;2026-01-26;;2033-05-15;0;0;Precificação na Curva Cliente;52372.241064000002;449.94429719999994;0;51922.296766799998;50866.994591999995;111.263841;0;50755.730750999996;;
001758776;2026-06-16;2026-06-16;RENDA FIXA;BANCARIO;CDB;CDB-CDB123CGP3J;BANCO C6 S.A.;PRE;;;;;146;146000;233519.35000000001;13127.9;0;15.15;15.15;PRE;;;;1599.447649;220391.45000000001;;;2023-02-07;;2027-03-05;0;0;Precificação na Curva Cliente;233519.35675400001;13127.903513099998;0;220391.45324090001;;;;;;
001758776;2026-06-16;2026-06-16;FUNDOS;FN;BRAVE I FICFIM CRPR;;;;35726300000137;920358;;;46243.018465910005;;97587.139999999999;5453.3499999999995;0;;;;;;;2.1103108000000002;92133.790000000008;;;;;;0;0;;;;;;;;;;;
001758776;2026-06-16;2026-06-16;FUNDOS;FN;PRASS FICFIM CRPR;;;;18093778000158;1728643;;;51113.252602339999;;247736.98999999999;11439.520000000002;0;;;;;;;4.8468249099999996;236297.47000000003;;;;;;0;0;;;;;;;;;;;
001758776;2026-06-16;2026-06-16;FUNDOS;FN;BTG DIGITAL TESOURO SELIC SIMPLES FIRF;;;;29562673000117;1170853;;;44078.735732999994;;88917.330000000002;419.97000000000003;2.0699999999999998;;;;;;;2.017238511325;88495.290000000008;;;;;;0;0;;;;;;;;;;;
005383349;2026-06-16;2026-06-16;CONTA CORRENTE;CC;CONTA CORRENTE;;;;;;;;0;;0;;;;;;;;;1;0;;;;;;0;0;;;;;;;;;;;
005422277;2026-06-16;2026-06-16;CONTA CORRENTE;CC;CONTA CORRENTE;;;;;;;;0;;0;;;;;;;;;1;0;;;;;;0;0;;;;;;;;;;;
004642770;2026-06-16;2026-06-16;FUNDOS;FN;BTG DIGITAL TESOURO SELIC SIMPLES FIRF;;;;29562673000117;1170853;;;22225.457069;;44834.050000000003;216.75;0;;;;;;;2.017238511325;44617.300000000003;;;;;;0;0;;;;;;;;;;;
003440312;2026-06-16;2026-06-16;FUNDOS;FN;BTG TESOURO SELIC FIRFREFDI;;;;09215250000113;1173358;;;57551.717912999993;;316679.90000000002;1509.28;11.699999999999999;;;;;;;5.5025275158879996;315158.92000000004;;;;;;0;0;;;;;;;;;;;
004642770;2026-06-16;2026-06-16;CONTA CORRENTE;CC;CONTA CORRENTE;;;;;;;;36.520000000000003;;36.519999999999996;;;;;;;;;1;36.519999999999996;;;;;;0;0;;;;;;;;;;;
005454012;2026-06-16;2026-06-16;CONTA CORRENTE;CC;CONTA CORRENTE;;;;;;;;0;;0;;;;;;;;;1;0;;;;;;0;0;;;;;;;;;;;
005466773;2026-06-16;2026-06-16;CONTA CORRENTE;CC;CONTA CORRENTE;;;;;;;;0;;0;;;;;;;;;1;0;;;;;;0;0;;;;;;;;;;;
003440312;2026-06-16;2026-06-16;RENDA VARIÁVEL;FII;CPTI11;CPTI11;;;;;FIC IE CAP  CI;;2860;;252824;0;;;;;88.400000000000006;;;88.400000000000006;252824;;;;;;0;0;;;;;;;;;;;
005040625;2026-06-16;2026-06-16;FUNDOS;FN;AF INVEST GERAES 30 FIRF CRPR;;;;29044189000104;544342;;;3206.4383280000002;;6700.8800000000001;5.6699999999999999;0;;;;;;;2.0898189999999999;6695.2100000000009;;;;;;0;0;;;;;;;;;;;
005040625;2026-06-16;2026-06-16;FUNDOS;FN;SPARTA TOP FIC RF CRPR LP;;;;14188162000100;536309;;;5073.3483554199993;;21158.200000000001;40.70000000000001;0;;;;;;;4.1704605199999998;21117.5;;;;;;0;0;;;;;;;;;;;
005040625;2026-06-16;2026-06-16;FUNDOS;FN;BTG DIGITAL TESOURO SELIC SIMPLES FIRF;;;;29562673000117;1170853;;;71173.500018999999;;143573.91999999998;781.69000000000005;0;;;;;;;2.017238511325;142792.23000000001;;;;;;0;0;;;;;;;;;;;
005043048;2026-06-16;2026-06-16;FUNDOS;FN;MAPFRE FIRF;;;;08610270000126;563980;;;11242.562987410001;;76939.850000000006;364.81;0;;;;;;;6.8436222400000002;76575.040000000008;;;;;;0;0;;;;;;;;;;;
005040625;2026-06-16;2026-06-16;FUNDOS;FN;BTG TESOURO SELIC FIRFREFDI;;;;09215250000113;1173358;;;15653.496453;;86133.800000000003;352.25;9.0500000000000007;;;;;;;5.5025275158879996;85772.5;;;;;;0;0;;;;;;;;;;;
004642770;2026-06-16;2026-06-16;FUNDOS;FN;BTG TESOURO SELIC FIRFREFDI;;;;09215250000113;1173358;;;17342.356194;;95426.790000000008;330.82999999999998;0;;;;;;;5.5025275158879996;95095.959999999992;;;;;;0;0;;;;;;;;;;;
005503237;2026-06-16;2026-06-16;FUNDOS;FN;VALORA GUARDIAN II FIDC;;;;23729525000168;535520;;;61544.250165739999;;175214.51000000001;5233.9300000000003;0;;;;;;;2.8469679999999999;169980.58000000002;;;;;;0;0;;;;;;;;;;;
005503237;2026-06-16;2026-06-16;FUNDOS;FN;ORGANON 60 FIC FIA;;;;52242659000158;9163579;;;2493.8127984600001;;50787.129999999997;1682.6099999999999;0;;;;;;;20.365251749999999;49104.520000000004;;;;;;0;0;;;;;;;;;;;
